username,products,date,helpfulness,recommendation,hours_played,body
"VIOLENT","168 products in account","Posted: July 23, 2016","1 of 2 people (50%) found this review helpful","Recommended","8.9 hrs on record","Posted: July 23, 2016
												good game, and addicting...so have you guys seen the nutshack season 1?"
"Jade-Kun","142 products in account","Posted: September 21, 2016","1 person found this review helpful","Recommended","9.7 hrs on record","Posted: September 21, 2016
												This is a great game and pretty addictive at that; with the ability to customize charecters to represent yourself and your friends, and a catchy themetune to boot its a fun game to play in short bursts. Don;t be surprised if you die a lot though, as you will die. A lot.

Not called DEATH road to Canada for no reason after all :P"
"theoffspringlp","140 products in account","Posted: August 28, 2016","2 of 2 people (100%) found this review helpful
1 person found this review funny","Recommended","65.5 hrs on record","Posted: August 28, 2016
												For me, the thing that really makes this game fun is putting friends and family into the game and watching the chaos that ensues.  The game plays a bit like Oregon Trail in terms of managing resources like food and bullets while traveling across the country.  You also have to make decisions about how to handle various situations that come up, like running into a massive group of zombies and having to decide whether to take a detour or try to plow through them.  Depending on the traits of your characters, you may have additional options in these instances.  

The other half of the game is running around city streets and various buildings searching for supplies while avoiding getting killed by zombies.  The combat can feel a little clunky, particularly when dealing with doors and corners, but doesn't detract from the game too much.  Character movement also feels a little flawed.  Navigating corners and narrow spaces can get a bit frustrating when your character seemingly gets stuck on nothing.  I also found the companion AI to be a bit annoying at times.  Their path-finding can be frustrating, they will often continue to walk into objects instead of just walking around them.

This game really shines in it's character design, decision making, and quirky humor.  You're able to give your characters a perk, like mechanical or medical skills, and personality trait, like being calm under fire or paranoid.  It creates humorous situations like when your co-worker complains about Mondays the whole trip, or when your fitness obsessed friend challenges bandits to a body builder pose-off.  

Overall I found this game to be a very enjoyable experience.  I would recommend this game to people who enjoy replaying games to see all the different outcomes to different decisions you make.  If your goal is to just get through the game to see the end, there may not be enough value here for you.  Otherwise, there's enough content to warrent playing the game multiple times, even after finshing it."
"teecha","38 products in account","Posted: August 4, 2016","6 of 7 people (86%) found this review helpful
1 person found this review funny","Recommended","92.5 hrs on record","Posted: August 4, 2016
												Highly recommended. Great retro style graphics with a clear design and aesthetic throughout and awesome gameplay to go right along with it. Combines excellent action elements with enough randomly generated events to continue to be awesome, interesting, and different on each run through. Easy to pick up but rewards repeated plays as you try different combinations of characters and if the developers past games are any indication expect some great additional content updates."
"We have such sights to show you","101 products in account","Posted: January 12","12 of 14 people (86%) found this review helpful
2 people found this review funny","Recommended","2.9 hrs on record","Posted: January 12
												Death Road to Heart Attack

This here is a short quirky like zombie survival story with packed replayability with the multiple modes you can choose to activate for your run. 
No one cares about the rest though because there is one mode that will make you think you are dying! 
In DR2C there is a mode that allows you to create avatars with limited visual cusomization paired with an expertise or something like that and a trait option. YOU CAN MAKE YOUR FRIENDS AND FAMIRY! SO I myself did so. The mode called familiar faces made it so the charac ters you would encounter would first pull from the pool of all your ""friends and family.""
In short I went on an adventure with familiar peoples in an intense situation. There were laughs, we would argue. At times we wouldn't speak to each other, or maybe we would discuss art and the moon nonstop. The characters attitude variations may not be exact on point, but when you see it, it is close enough. I felt their fear and screams as we lost our car to bandits, when we were chased to our new graves inside that damn bar. I have PTSD now 10/10 this ♥♥♥♥ is better than the christopher walkin dead!!!"
"Nameloc","340 products in account","Posted: January 13","1 person found this review helpful","Recommended","18.0 hrs on record","Posted: January 13
												I've been following Rocketcat Games for years now, since their early iOS days...
While I had been thoroughly disappointed in that they weren't making games for PC, I was thrilled when the kickstarter released for this game.

Sadly, I didn't have the funds to back it at the time, although it's great to see a kickstarter game that actually gets finished.

The game is really great. It's tough, like every rogue-like Rocketcat game.
Randomness sometimes doesn't seem too random, seems to give dull loot and dull character encounters. Especially when you modify the save files and find out what in all is actuall IN this game.

In the end, I wish there was more to the game, but I am still very satisfied with my purchase. The devs seem to be continuously adding. Highly recommend this game."
"TheTims","274 products in account","Posted: July 29, 2016","1 person found this review helpful","Recommended","2.5 hrs on record","Posted: July 29, 2016
												I may not have that many runs in yet but this game is great. My best run so far was when my buddy had dog friend as a perk and kept attracting dogs to the cause. About five days in I felt I was doing well then it happened. A seige completly devasted me killing the two humans in my party. One getting trapped in the horde and the other overcome by the grief of losing his partner charged head first shooting his shotgun as much as possible. All the while my lassy dog fighting with all its heart trying to save who ever was left. It only lasted seconds though the lassy all that remained. Making a getaway just as the horde closed in the dog was all I had left. Then my lassy decided it was time to stick those keys into the ignition and drive. The next day my lassy was mauled by a moose it was trying to help and thus ended my best run. 10/10"
"#KanyeForPres. 2k20","7 products in account","Posted: January 1","9 of 15 people (60%) found this review helpful
9 people found this review funny","Recommended","32.2 hrs on record","Posted: January 1
												One playthrough I got killed by a cursed clown






10/10 would get killed by clown again."
"jacarydy","14 products in account","Posted: December 3, 2016","2 of 3 people (67%) found this review helpful","Recommended","4.9 hrs on record","Posted: December 3, 2016
												I found Link from legend of zelda. LOL/10"
"Swight probably?","87 products in account","Posted: August 20, 2016","1 person found this review helpful
1 person found this review funny","Recommended","18.2 hrs on record","Posted: August 20, 2016
												Its a good game"
"Zeddy","54 products in account","Posted: July 22, 2016","4 of 6 people (67%) found this review helpful
1 person found this review funny","Recommended","61.5 hrs on record","Posted: July 22, 2016
												Tells first survivor I meet to cool it, and then everything goes downhill while I rock out to the awesome music!

Also I made two custom characters so I could be more invested in the game, and they already died, time to restart already!

(I may edit this later with a legitimate review, but we'll see. I may need to cool it before I do that.)"
"Black Wombat","354 products in account","Posted: February 3","2 of 3 people (67%) found this review helpful","Recommended","29.2 hrs on record","Posted: February 3
												I played this game when it came out, and was on the fence about it. Since then, it's had a lot of patches, re-balances, and content updates, and they've made the game much more fun. Ammo is a little more plentiful, weapons last a little longer, it's easier to gain momentum as you go. There are higher difficulties for those who want it, but normal no longer feels arbitratily punishing.

Further, I had a man get too sad to continue on the Death Road, and so he trained the dog that was his only companion to drive and told him to go and make him proud. Shotgun-wielding dog then made it to Canada.

A+. 5/5. Jasper is the best dog."
"Emilwy","53 products in account","Posted: January 10","0 of 1 people (0%) found this review helpful","Recommended","3.2 hrs on record","Posted: January 10
												I got this game as an impulse game because i saw a youtuber play it but I wasn'tall too excited before i actually started playing. I was pleasently surprised! I love the custom characters and familiar characters game mode I've created all my friends and family and i can't wait to do more."
"AssassinGlasgow","397 products in account","Posted: July 23, 2016","8 of 12 people (67%) found this review helpful
1 person found this review funny","Recommended","20.6 hrs on record","Posted: July 23, 2016
									Product received for free

												You better COOL IT!
(mini-review)

Fantastic game, seriously. Music and visuals are top-notch and the game has a lot of humour and personality. It's super fun adding your own characters to it too. I also like the interactive aspect, which allows you to scavenge for supplies and control how you get them, rather than have it be completely RNG. Experienced no crashes over 7 hours, but apparently they are there for others.

It's a lovely game, and game from Rocketcat. Definitely check it out if you're up for an Organ Trail esque game...TO CANADA!

(full review after I play more of it soon)"
