title,description,release,summary,tags
"The Elder Scrolls V: Skyrim","EPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to...","Released: 10 Nov, 2011","Overall user reviews:
			Very Positive
						(153,752 reviews)","[{""tags"":""Open World""},{""tags"":""RPG""},{""tags"":""Fantasy""},{""tags"":""Adventure""},{""tags"":""Moddable""},{""tags"":""Dragons""},{""tags"":""First-Person""},{""tags"":""Action""},{""tags"":""Medieval""},{""tags"":""Magic""},{""tags"":""Singleplayer""},{""tags"":""Story Rich""},{""tags"":""Great Soundtrack""},{""tags"":""Sandbox""},{""tags"":""Lore-Rich""},{""tags"":""Atmospheric""},{""tags"":""Character Customization""},{""tags"":""Action RPG""},{""tags"":""Third Person""},{""tags"":""Dark Fantasy""}]"
"Obduction","A new sci-fi adventure from Cyan, the creators of Myst. Abducted far across the universe, you find yourself on a broken alien landscape with odd pieces of Earth. Explore, uncover, solve, and find a way to make it home.","Released: 24 Aug, 2016","Overall user reviews:
			Very Positive
						(901 reviews)","[{""tags"":""Adventure""},{""tags"":""Exploration""},{""tags"":""Puzzle""},{""tags"":""First-Person""},{""tags"":""Mystery""},{""tags"":""Surreal""},{""tags"":""Indie""},{""tags"":""Walking Simulator""},{""tags"":""Casual""},{""tags"":""VR""},{""tags"":""Nonlinear""},{""tags"":""Open World""},{""tags"":""Atmospheric""},{""tags"":""Choices Matter""},{""tags"":""Story Rich""},{""tags"":""FMV""},{""tags"":""Singleplayer""},{""tags"":""Survival""}]"
"Assassin’s Creed® IV Black Flag™","The year is 1715. Pirates rule the Caribbean and have established their own lawless Republic where corruption, greediness and cruelty are commonplace.Among these outlaws is a brash young captain named Edward Kenway.","Released: 19 Nov, 2013","Overall user reviews:
			Very Positive
						(16,958 reviews)","[{""tags"":""Pirates""},{""tags"":""Open World""},{""tags"":""Action""},{""tags"":""Adventure""},{""tags"":""Assassin""},{""tags"":""Third Person""},{""tags"":""Stealth""},{""tags"":""Naval""},{""tags"":""Parkour""},{""tags"":""Multiplayer""},{""tags"":""Historical""},{""tags"":""Story Rich""},{""tags"":""Singleplayer""},{""tags"":""Exploration""},{""tags"":""Action-Adventure""},{""tags"":""Atmospheric""},{""tags"":""RPG""},{""tags"":""Mature""},{""tags"":""Sandbox""},{""tags"":""Action RPG""}]"
"Cities: Skylines - After Dark","Night time is fun time! After Dark is the first expansion to the hugely popular classic city simulation Cities: Skylines. The game expands on the repertoire of features and customizations designed to enhance the thrill as well as maintain the challenge of the city building experience.","Released: 24 Sep, 2015","Overall user reviews:
			Very Positive
						(406 reviews)","[{""tags"":""Simulation""},{""tags"":""Strategy""},{""tags"":""City Builder""}]"
"Brawlhalla - All Legends (Current and Future)","Brawlhalla is an epic platform fighter for up to 8 players online or locally. And it's free. Join casual free-for-alls, queue for ranked matches, or make a custom room with you friends. Millions of players. Frequent updates. Over twenty unique legends. Come fight for glory in the halls of Valhalla!","Released: 3 Nov, 2015","Overall user reviews:
			Positive
						(37 reviews)","[{""tags"":""Action""},{""tags"":""Indie""},{""tags"":""Multiplayer""},{""tags"":""2D Fighter""}]"
"Train Simulator","Ever dreamed of driving trains? Now you can! Train Simulator 2017 brings to life some amazing train challenges on real world routes and delivers the ultimate railway hobby.","Released: 17 Sep, 2015","Overall user reviews:
			Mixed
						(7,079 reviews)","[{""tags"":""Simulation""},{""tags"":""Trains""},{""tags"":""Singleplayer""},{""tags"":""Driving""},{""tags"":""Realistic""},{""tags"":""Casual""},{""tags"":""Relaxing""},{""tags"":""Open World""},{""tags"":""Building""},{""tags"":""Moddable""},{""tags"":""Sandbox""},{""tags"":""TrackIR""},{""tags"":""Atmospheric""},{""tags"":""Level Editor""},{""tags"":""Fishing""},{""tags"":""Action""},{""tags"":""City Builder""},{""tags"":""VR""},{""tags"":""Strategy""},{""tags"":""Massively Multiplayer""}]"
"NARUTO STORM 4 : Road to Boruto Expansion","In a completely New Hidden Leaf Village, enjoy the adventures of Boruto, Naruto's son! The next generation is underway!","Released: 2 Feb, 2017","Overall user reviews:
			Mostly Positive
						(209 reviews)","[{""tags"":""Action""},{""tags"":""Adventure""},{""tags"":""Anime""},{""tags"":""Fighting""}]"
"Algotica - Iteration 1","Algotica is an educational adventure-puzzle game about programming, along with a story that breaks the fourth wall. If you wanted to start learning programming but think that it too difficult to understand or just don't have enough time or not sure that you need it - this game is a good start point...","Released: 23 Mar, 2017","Overall user reviews:
			6 user reviews","[{""tags"":""Indie""},{""tags"":""Adventure""},{""tags"":""Programming""},{""tags"":""Puzzle""},{""tags"":""Education""},{""tags"":""Cute""}]"
"RPG Maker XP","RPG MAKER lets you create an original role-playing game without any prior specialized knowledge or training. RPG MAKER XP is full of the functions you've been asking for, including game data encryption and a scripting feature that lets you change the very heart of the RPG MAKER engine.","Released: 13 Dec, 2013","Overall user reviews:
			Very Positive
						(170 reviews)","[{""tags"":""Web Publishing""},{""tags"":""RPGMaker""},{""tags"":""Game Development""},{""tags"":""RPG""},{""tags"":""Anime""}]"
"Tom Clancy's The Division™ - Season Pass","Continue your Agent’s journey with major expansions, exclusive gear, and special benefits all at one great price with the Tom Clancy's The Division™ Season Pass. • Gain access to all 3 expansions over a full year • Unlock exclusive gear and day 1 customization options, including the Sawed-off...","Released: 7 Mar, 2016","Overall user reviews:
			Mixed
						(691 reviews)","[{""tags"":""Action""},{""tags"":""RPG""},{""tags"":""Adventure""}]"
