username,products,date,helpfulness,recommendation,hours_played,body
"Lord Jakus","654 products in account","Posted: November 3, 2016","277 of 293 people (95%) found this review helpful
35 people found this review funny","Recommended","817.4 hrs on record","Posted: November 3, 2016
												500+ hours in and still finding new things to learn.

Easy game to pickup, stupidly hard to master.

Can't recomend this game enough.

Nice shot! What a save!"
"CronHD","87 products in account","Posted: March 2, 2016","8 of 10 people (80%) found this review helpful","Recommended","288.2 hrs on record","Posted: March 2, 2016
												This is my new favourite game! I love it, it is so fun to play with you friends or alone. There are some really cool custom items to put on your car to make it look awesome plus the DLCs don't cost alot either. I can play this game for hours on end without getting bored. I highly recommend this game to buy and have fun with even if you don't like football or cars.


10/10 
Love it!
Would paly for another 69 hours."
"WarpZealot","93 products in account","Posted: August 5, 2015","18 of 25 people (72%) found this review helpful
12 people found this review funny","Recommended","1,031.9 hrs on record","Posted: August 5, 2015
												Why is this game so fun? When I lie down at night and look up at the ceiling, my eyes move around trying to track a non existant giant ball in the air. I think I've played this game for too long already."
"Britbong the ""Zyzz"" Killa","377 products in account","Posted: July 28, 2015","18 of 30 people (60%) found this review helpful
2 people found this review funny","Recommended","5.7 hrs on record","Posted: July 28, 2015
												Fun, Fast, Entertaining and a very solid gaming experience, pleasantly surprised at how much fun I had."
"petskuletsku","370 products in account","Posted: November 24, 2016","31 of 52 people (60%) found this review helpful
2 people found this review funny","Recommended","40.3 hrs on record","Posted: November 24, 2016
												fun game with friends"
"soad667","782 products in account","Posted: November 24, 2016","6 of 6 people (100%) found this review helpful","Recommended","721.2 hrs on record","Posted: November 24, 2016
												Holy cowlculated! (badge whoring in progress..)"
"Metal_Link","291 products in account","Posted: August 14, 2016","35 of 43 people (81%) found this review helpful
4 people found this review funny","Recommended","263.5 hrs on record","Posted: August 14, 2016
												It's super fun, it's a blast with friends, and there's splitscreen multiplayer for a PC game for once. I love this game and I already bought a shirt with the logo.

If you have a dual monitor set-up, I recommend you look into changing the game's resolution to span both screens for 2-player. The UI scales perfectly and you'll each have your own full-screen view!"
"Three-_-Dog","160 products in account","Posted: February 7","20 of 29 people (69%) found this review helpful
1 person found this review funny","Recommended","37.2 hrs on record","Posted: February 7
												Rocket League is a damn good game. It's fun, very addicting and the gameplay can be quite humorous at times. Just playing this game for a few minutes is relaxing and laid back. If you want to play it competitively you can, and if you don't, you can play it casually just as well. 

This game made Soccer, a sport that I personally didn't care that much for, fun for me. Rocket League, simply put, is a very entertaining game that will give you hours of constant enjoyment. Suffice it to say, I think this game is well worth your money and I, for one, am glad to have played it.

8.5/10: ""A very fun game that will leave you highly entertained and wanting for more after every single match."""
"❤ Loooty 4SV","12 products in account","Posted: November 29, 2016","4 of 4 people (100%) found this review helpful","Recommended","19.1 hrs on record","Posted: November 29, 2016
												Rocket League - a dynamic racing game in the style of football, developed and published by Psyonix for PlayStation 4, Xbox One and Microsoft Windows. The game is on 7 July 2015. This game is a sequel to the game in 2008 Supersonic Acrobatic Rocket engine Battle-Cars (SARPBC). Game gameplay is similar to the game SARPBC and includes single and multiplayer (support split screen) mode, has the opportunity to play on a local network, cross-platform Includes game and PS4 between Microsoft Windows.

 Pros: 

1. Gameplay.

The game has a couple of modes: 1 vs. 1, 2 vs. 2, 3 vs. 3, 4 vs. 4, 3 vs. 3 Hockey and new clothes often go to various other modes and maps.

Where online game without matchmaking? 1 vs. 1, 2 vs. 2, 3 vs. 3, 4 vs. 4 - for all these modes, you can get the title (rank). In each mode, its title, that is, you can sit down for a long time in one mode, in addition to it you will find more then 3. However, I highly recommend that you do not play in matchmaking, because after him, you can spoil your mood.

And yes, even in the game there are different machines and tuning them. It is very cool!

2. Team play.

The multiplayer game is fully revealed potential game ideas. The most interesting part of this. Under the bot can already be arranged, but not real players. They may be misleading, to negotiate, to use clever tactics.

3. Graphics.

The graphics for the game in 6.5 $ just excellent.

4. Soundtracks.

They are perfectly matched and fit perfectly into the gameplay.

5. The idea of ​​the game.

Indeed, this is quite an interesting idea for a game. As I wrote above, this game is like a game gempleem Supersonic Acrobatic Rocket Powered Battle-Cars (SARPBC), but for some reason no one remembers the game as well?Developers Psyonix have reviewed all the disadvantages SARPBC games and made a bomb

 Minuses: 

1.Random.

What did I say?
For example, you can win the ♥♥♥♥♥♥♥s to the forty-seventh chromosome, which can not use the elementary flight, and just waiting for rebounds, banal transmission through the entire field. And, of course, it is unpleasant.

 Conclusion: 

Despite all these drawbacks, the game I loved madly.
I thought a long time, take it or not this game, because I do not like football, but in the end he took and never regretted. Excellent arcade game, which will delay than a dozen hours."
"Morgan Zeeman","64 products in account","Posted: July 12, 2015","144 of 196 people (73%) found this review helpful
171 people found this review funny","Recommended","307.2 hrs on record","Posted: July 12, 2015
												☝(°ロ°) I Recommend This Game For EveryBody Who Hates Racing And Football"
