username,products,date,helpfulness,recommendation,hours_played,body
"01toad","126 products in account","Posted: October 26, 2015","4 of 4 people (100%) found this review helpful","Recommended","352.0 hrs on record","Posted: October 26, 2015
												This program is amazing.
Although it's considered ""basic"" for some users at the moment, it will get you started on a game almost immediately. I recommend buying it since the RPG Maker community is very nice and you get free resources every Wednesday.
EDIT: I have now run into the error where custom content doesn't seem ""allowed"" at the moment"
"TD Bauer","36 products in account","Posted: April 13, 2016","2 of 2 people (100%) found this review helpful","Recommended","89.9 hrs on record","Posted: April 13, 2016
												If you are looking to jump into making anime style RPGs without too much hassle then this is a great program for you to use.  If you have some past coding experience with java then you can do wonders with this program in regards to making highly customized games that are unique to you.  RPG MAKER MV comes with lots of tile sets, character styles, and music that allow you to start making games right away.  

I am using this program to make personalized games for the grandkids Christmas 2016.

If you are looking to make platformer or top down shooters, or other types of games, then check out Construct 2."
"「 DangDut 」 MySteaм.ID","2,187 products in account","Posted: October 24, 2015","26 of 44 people (59%) found this review helpful","Recommended","1,612.4 hrs on record","Posted: October 24, 2015
												RPG MAKER MV open new world of possibilities to make the RPG of your dreams!

Also with enthusiastic RPG Maker fans who keep asks and also answers, and some known RPG Maker plugin makers that keep trying to customize even further with their (newly) JavaScript plugins I believe the future of RPG Maker will be more shines than before.

INFO: You should aware that this software doesn’t directly create an .apk file for android. We need third party software’s for it, but this method is widely used and known. Nothing wrong with it."
"The Flaming Pike","17 products in account","Posted: January 25","37 of 38 people (97%) found this review helpful","Recommended","94.9 hrs on record","Posted: January 25
												I probably followed the same path as most people. I didn't know how to make a video game and one day I thought ""Hell, why not?"". Enter the RPG Maker franchise. Its main attraction is that it can let you make a video game even though you don't know how to use codes and all. This software is a real game-making noob magnet. As you're reading this, I bet you're feeling exactly like I did.

When I first opened the program, I guess I felt like most RPG Maker neophytes. I thought ""What in the world am I going to do now?"". The software will barely guide you. You'll feel helpless for a few minutes, to say the least. There are no tutorials, just limited information here and there. There's an underwhelming amount of tools and icons which will make you wonder whether or not you have to unlock a ""pro"" mode somewhere that'll hopefully uncover additional stuff. Well, that's ""pro mode"" for you. What you see is what you get. The sprites, scenery ""tiles"" and other assets are also extremely limited. 21st century instinct will kick in and you'll eventually do like everyone else: you rely on your good ol' internet and search for the missing knowledge. ""How do I make RPG Maker work?""

After a couple of hours or so, you'll figure out that the RPG Maker franchise is somehow continuously lacking in content and that it heavily relies on its online community to actually make things happen. And thank God this community exists. There are countless plugins, animations, tilesets, etc. at your disposal. And, so far, although I haven't interacted with a lot of people, I have to say that this community is highly positive, always interested in improving all the RPG Maker softwares and their games, whether it be their game or someone else's. They are always willing to help the newcomers - which is something I truly admire in today's world where most people will frown upon those who always ask the same questions and come up with the same issues as they learn and progress.

With a bunch of plugins in hand, you will eventually discover that RPG Maker MV has tons of additional potential. It's still limited, of course. Obviously, you can't make a 3D FPS, for example, but there are possibilities of making something else which might not be a RPG in the true nature of the genre. There are good examples out there on the net.

Now here's the hard part. Think of RPG Maker as a car. Now imagine everyone has the exact same car. You'll need to make your own parts in order to make your car unique. It's the same with RPG Maker. If your desire is to make a game to remember, you need to make your own sprites, your own backgrounds, your own music, etc. There's no way to make a good game only with what RPG Maker offers.

This leads me to believe that the people involved with this program are somewhat lazy and greedy. Lazy because they could make an editor which would allow you to create stuff within RPG Maker. Greedy because the price is quite high for what the program delivers and also because they appear to have stopped updating the software, instead delivering pricey DLCs so they can milk the cow a little more, using - or abusing - those who don't have the skills to make their own sprites, backgrounds, etc... Considering that they've made a good amount of money with this popular software, you'd think that they would offer more free content and that they wouldn't just let other folks do the hard, dirty work by creating useful plugins.

But, yeah, the software neverthelessly delivers. Thanks to the community. Will you make a game? Can't say for sure. I believe many people will either make a very crappy game and let it go for free or will simply abandon the software after realizing it requires a bunch of hours viewing fan-generated tutorial videos and reading fan-generated tips and hints. This leaves us with a minority of creators that will produce decent games and an extremely tiny minority that will make great, if not amazing games to remember. If you want to make such a game with RPG Maker, you really have to prepare yourself because you'll have to spend hundreds of hours on this project of yours. There's also a lot of trial-and-error in the way. It demands a lot of dedication, that's for sure. But that's not related to RPG Maker. It's the same scenario for anyone who wishes to make a video game, no matter the softwares being used.

I can't say I'm disappointed even though I do feel like I paid a little too much for this. But that's just me. It works. It truly does. But you'll have to work more than it does. Are you ready for it?"
"E.M. The Mexican Emo","35 products in account","Posted: July 4, 2016","12 of 13 people (92%) found this review helpful","Recommended","45.2 hrs on record","Posted: July 4, 2016
												It made my dreams of finally creating a game come true"
"Susan","276 products in account","Posted: October 26, 2015","49 of 53 people (92%) found this review helpful
2 people found this review funny","Recommended","7,484.4 hrs on record","Posted: October 26, 2015
												An easy to use game maker engine that builds off the foundation set by its predecessors. I say 'game maker' rather than RPG maker because it has the potential to create other genres such as action, adventure and visual novel games, just like  the previous engines.

Its simple and familiar look makes it easily accessible to people who have already used any of the previous engines, and is approachable to people new to it as well. It contains more features than any of the previous engines. JavaScript looks formidable compared to Ruby, but everything can be learned in time. The character generator has much better parts than the Ace one, and even provides a base and parts for their sideview battles.

Despite the familiar appearance, it has been remade completely, so bugs are expected from something so new. I've only encountered graphical bugs so far, but none of the lag mentioned (using a 4 year old i5 laptop with a generic graphics card that has update-to-date drivers). Just need to point out that practically every single program and game out there has bugs on release. The important thing is that the reported issues are being fixed, the developers just need time.

Overall, I'm very happy with my purchase, and glad to have it despite the bugs. Kudos to the Degica team who worked so hard to see this program released this early, and who are still dealing with the issues related to the program together with Kadokawa."
"pacati","87 products in account","Posted: May 28, 2016","8 of 10 people (80%) found this review helpful","Recommended","1,475.1 hrs on record","Posted: May 28, 2016
												I would not recommend this or any ""cookie-cutter"" game maker software to someone who wants to produce a finished commercial product.  When it comes to RPGs these days, you need more than a tremendous story/characters/dialogue or else your product will never get noticed.  When you use ""cookie-cutter"" game makers, that story aspect is the only originality you can provide.

But within certain contexts, RPG Maker MV is simply amazing.  I want to spend a year designing maps, story, characters and dialogue for my RPG.  Most of the original aspects to my proposed product revolve around audio and combat, which aren't possible with RPG Maker MV.  Hard to tell if your proposed story/character mechanics will work until you play them, and it's hard to motivate to spend a year coding software (for me, AGK2) so I can BEGIN playtesting the story.

No chicken n' egg problem if you have something like RPG Maker MV.  You can develop both simultaneously, because it's so simple to work with RPG Maker MV.  

So if you're approaching RPG making like I am, I can't recommend this enough.  I'm only a half hour in and I've already got most of the basics down (to emphasize, I have a coding background which aids with immediately understanding certain structures that RPG Maker MV is essentially a shell for, even though it's not involving direct coding at all).  If you're looking for something that will be the final product, and sell it for money, I'd have to roll my eyes, yes, yes."
"Hiek","39 products in account","Posted: October 28, 2015","28 of 33 people (85%) found this review helpful
2 people found this review funny","Recommended","277.1 hrs on record","Posted: October 28, 2015
												For someone who has been experimenting with just about every RPG Maker from 2003~VX Ace.
I have to say this is one of THE best RM's to this date.

I really love the simple built in Side View battle system which is easy to use and no
complicated scripting is needed.


This will be the FIRST RPG Maker that I will actually use for a commercial project.
It's that good.

I knew when seeing the trailer before the release was announced that I was going to
enjoy this, and I Pre-Ordered this as soon as I could without second thoughts.

I recommand this to anyone who loves making RPGs.
It's litterally the BEST that has been released so far.


However, I'd suggest you listen to the System Specs.
I had to get a new PC to use the program at ease compared to the previous makers.
(I was getting a gaming PC anyways, so it wasn't a big deal.)"
"LectroNyx","48 products in account","Posted: October 24, 2015","40 of 78 people (51%) found this review helpful
3 people found this review funny","Not Recommended","837.5 hrs on record","Posted: October 24, 2015
												Oh boy, where do I even start on this? Honestly, I really want to like this. I really do. There are some good things to it - an options menu, the plugins, etc... But there's so much missing that it does not feel right. At all. I didn't need the ""sound test"" this includes - VX Ace had something similar to that. However, I do need an assets menu to make importing custom features easier. I do need an easy way to access scripts. I do need some way to import a VX Ace project to MV so I don't have to restart everything. I do need the ability to disable the RTP to make the download size smaller. At least include the characters from the cover art in the actual software instead of DLC, you know?! It's very new, but there are far too many problems for me to just accept it. Simply put, it feels nowhere near complete, ditches some of the most useful parts of VX Ace, and doesn't really bother making up for the things it scrapped."
"ImmortalAmpharos","106 products in account","Posted: April 24, 2016","10 of 17 people (59%) found this review helpful
11 people found this review funny","Recommended","30.6 hrs on record","Posted: April 24, 2016
												""None of your friends have used this software recently. Tell them why they should.""

You should."
