username,products,date,helpfulness,recommendation,hours_played,body
"Korruh","125 products in account","Posted: March 20","10 of 18 people (56%) found this review helpful
3 people found this review funny","Recommended","14.9 hrs on record","Posted: March 20
												big oppai tbh"
"striderreimu","52 products in account","Posted: March 19","2 of 4 people (50%) found this review helpful","Recommended","14.0 hrs on record","Posted: March 19
												It's fun as ♥♥♥, awesome music, awesome visuals  plus it has all kinds of waifus for everyone's taste. What the else do you want? Buy it!"
"Kyo","27 products in account","Posted: March 19","18 of 23 people (78%) found this review helpful
2 people found this review funny","Recommended","11.0 hrs on record","Posted: March 19
												The shinobi transformation improved.
Higher quality oppai. What more can you ask?

Aside from the fanservice, the gameplay is smooth and works well. Fighting is harder than in Shinovi Versus since your character needs some time to regain balance but it makes for different style of play.

If you liked Shinovi Versus, you'll love this. For many reasons..."
"Honorable_D","467 products in account","Posted: March 18","1 of 3 people (33%) found this review helpful
2 people found this review funny","Recommended","14.5 hrs on record","Posted: March 18
												Sometimes a man just wants to enjoy giant anime tiddies without being judged by those on his friends list! Hahaha

Anyways, quality port that runs at smooth 60 (even when loaded up with ReShade to make them colors pop) with some various graphic options and 4K support. Think Dynasty Warriors but with an all female cast and obviously tons of fan service and you've got the gist of this game! Dumb, LEWD fun!"
"Biri Biri","219 products in account","Posted: March 19","0 of 1 people (0%) found this review helpful","Recommended","0.2 hrs on record","Posted: March 19
												This is the 4th time ive bought this game, and this is definately the best version.
Runs in 4k in fullscreen borderless, and runs great!"
"Jay RPG","92 products in account","Posted: March 21","3 of 5 people (60%) found this review helpful","Recommended","4.7 hrs on record","Posted: March 21
												Marvelous have done an excellent job with the PC port of Senran Kagura, with resolution support up to 4k, and 2 FPS options of 30fps and 60fps. The FPS locks allow for a silky smooth experience on a very wide-range of hardware configurations, and the smooth framerate is essential to get the most out of this brawler.

I've played the PC port now for about 4 hours and haven't experienced any bugs, crashes, or technical issues of any kind, the PC port is rock solid, Koei Tecmo and Bandai Namco could learn a thing or 2 from Marvelous about how to port a game to Steam..

I already owned Senran Kagura Estival Versus on PS Vita so I'll draw on that experience to give a few thoughts on the game, now that we have established the port is perfect.

At it's core, Senran Kagura is a fan-service series, it is overtly sexual, and it embraces that, there is no pretense, the first cut-scene you see has a token shot of anime girl butt 20 seconds in which then proceeds to get spanked.
This kind of thing might seem shocking at first but the hilarious interactions, raunchy humour, and all-round great writing wouldn't be quite as good if the game wasn't so non-chalant with it's fan-service.

It's a shame that so many people (especially reviewers) can't get past this though, because underneath it's actually a very enjoyable, and mechanically-sound action-brawler. There are plenty of mechanics for you to take advantage of, dodges, blocks, different types of attacks, combos, special moves (which are themselves a more complicated mechanic than they first appear to be), transformations, mid-air combat, and these are just the things you'll be introduced to in the first 15 minutes.

As you play through the game you'll get access to different characters, who all play differently from each other, and there is also a great deal of character customisation and strategy involved prior to getting into a combat situation.

At the end of the day you'll mainly find yourself tackling hordes of enemies in the outlandish and mechanically brilliant brawler-style combat system, or sitting back and having a giggle at the hilarious character interactions and quirky humour, what more could you ask for?

The video below shows off all configuration options available on the PC port, as well as the first 4 minutes of gameplay. The opening cutscenes and sequences are skipped to avoid spoilers and get right in to showing off the combat and PC performance. [Mildly NSFW Warning: Anime Bum From The Very Beginning]


	
	
		YouTube™ Video: Senran Kagura Estival Versus PC: First ~4 Minutes of Gameplay, PC Port Settings (4k/60fps support) 
		
			Views: 143		
		
			Marvelous have produced a top notch PC port of Senran Kagura Estival Versus, in this video you'll see all configuration options available on PC & the first tutorial gameplay section."
"Keb","46 products in account","Posted: March 18","2 of 4 people (50%) found this review helpful
8 people found this review funny","Recommended","24.3 hrs on record","Posted: March 18
												WHAT A TIME TO BE ALIVE"
"Utaha","108 products in account","Posted: 18 March","28 of 41 people (68%) found this review helpful
14 people found this review funny","Recommended","108.9 hrs on record","Posted: 18 March
												I wrote a blog post a while ago about why I ♥♥♥♥ing hate video games, because this is what it does appeals to like the male fantasy.
jk



ＰＲＯＳ (Will mostly be comparing this one to the previous titles)
+Better gameplay 
+More playable characters
+Harder difficulties are now actually hard
+Animations are more fluid and the models are ＳＯＦＴＥＲ
+ＨＥＡＤＰＡＴＳ
+ＰＬＡＹＡＢＬＥ　ＫＡＧＵＲＡ

ＣＯＮＳ
-Keyboard controls are pretty awkward just like other console ports but a controller would easily solve this
-While I do not mind the repetitive gameplay since this is a musou game, grinding to max the yin, yang, and flash stats can be a huge pain in the ♥♥♥
-Some of the movesets were drastically changed
-Kagura doesn't have a shinobi girls heart mission

As for the story, it's actually enjoyable and the drama is pretty good unlike the previous titles which is mainly about slaying youmas or revenge. Character development can actually be felt here because of the longer dialogues.
And just like Plato once said ""Never trust anyone with less than 2 digits of game time on senrans.""

EDIT: Kissing is actually available in this version. Instructions on the comments thanks to my guy Yamato."
"Liquid Croc","91 products in account","Posted: March 18","2 of 5 people (40%) found this review helpful","Recommended","3.8 hrs on record","Posted: March 18
												The combat is certainly different, your shinobi girls are a lot slower than what they were in SV.

The KB+M controls need a little love though... i still love the game however."
"HeartlessJing","88 products in account","Posted: March 18","1 of 3 people (33%) found this review helpful","Recommended","11.8 hrs on record","Posted: March 18
												Well after sitting down and playing this game all day (Over 10 hours) I feel confident in saying that it is just as great, if not better, than it's predecessor! 
I had my heart set on liking this game even before it came out and of course I jumped on it the second that it was released! 

As far as DLC content goes, I'm really satisfied so far! I bought all the character packs because it seemed like the right thing to do (more characters in an action game? No brainer for me!) and I definitely don't regret my purchase! I've read reviews on the mission packs and those can definitely wait until after you complete everything in game because the base game already has a ton for you to unlock and discover. 

This is a great action fighting game WITH boobs! Definitely worth the price tag and I have no regrets. 

Hikage is Life. 


10/10 would waste another full day stripping shinobi."
