username,products,date,helpfulness,recommendation,hours_played,body
"salamander nͫiͤcͫeͤ","25 products in account","Posted: June 16, 2015","8 of 9 people (89%) found this review helpful
5 people found this review funny","Recommended","90.3 hrs on record","Posted: June 16, 2015
												Amazing.

Pros
- This is the true meaning of 'customizable'.
- You can slowly but surely buy out cities through trading, use your powwer of pink straw hats to spread your religion across the globe, or just blow it all up.
(Same goes for the other mode, you've got choices.)
- Some of your creations show up on other save files. (E.G. a spaceship belonging to a save in Space Stage abducts one of your pets in Tribal stage)
-Several 'stages'
  = Cell stage (Ever heard of Agar.io? That's what this is, but cooler.) Eat anything smaller than you. Run away from anything bigger. Have kids. Grow an extra fin. Repeat.
  = Creature stage: Grow legs and walk around. Hunt a few species to extinction. Make friends with (relative) giants. Get killed by (actual) giants.
  = Tribal stage: Kill everything that moves to death and/or hug everything that moves. (The former is much more reliable, you know.) Also: Avoid the giants.
  = Civilization Stage: A simplified version of Sid Meyer's Civilization for dummies that has been simplified, with more customizability. Watch as your trade routes get torn apart by afforementioned giants.
  = Space Stage: Make your spaceship and conquer/hug the galaxy. Destroy giants with your kickass lasers and nukes.

Cons:
- Creature stage can take FOREVER. (Due to giants.)
- One or two glitches. (Not many)
- A certain cool DLC isn't available anymore.
- The Bor- (What? Did I say Borg? I meant Grox) are overpowered, and you can't get the Genesis Dev- (*Cough cough* The staff of life *Cough cough*) because of them."
"Boo","21 products in account","Posted: November 8, 2014","9 of 9 people (100%) found this review helpful
1 person found this review funny","Recommended","70.4 hrs on record","Posted: November 8, 2014
												Very creative game, you can create your own species and evolve them. It's really fun i loved it and iit has not really been changed much since the game came out."
"Steve the Bandit","93 products in account","Posted: December 5, 2013","4 of 5 people (80%) found this review helpful","Recommended","154.2 hrs on record","Posted: December 5, 2013
												REVISED 4/13/14: Spore does have a few hinderances. One great example would be the massive amount of bugs in the game, whether they be subtle or game-breaking. But let's try to ignore those. Spore is a brilliant game, in fact, I love Spore. It has a great cult following communtiy, too. In my opinion, the best stage is the space stage. Really, I like all the stages (except tribal because you can't use cheats :P). I would reccomend this game to casual and hardcore gamers, as it amounts to so much fun."
"Blitz","62 products in account","Posted: May 18, 2016","9 of 13 people (69%) found this review helpful
2 people found this review funny","Recommended","88.7 hrs on record","Posted: May 18, 2016
												The creations are ♥♥♥♥ing fantastic 10/10 would make a ♥♥♥♥ again."
"-{GMZ}- A Crit-Sergeant","30 products in account","Posted: June 26, 2014","8 of 12 people (67%) found this review helpful","Recommended","122.1 hrs on record","Posted: June 26, 2014
												Three Words:

BUY. IT. NOW."
"TheGeeNee","433 products in account","Posted: September 7, 2016","31 of 44 people (70%) found this review helpful
8 people found this review funny","Recommended","9.8 hrs on record","Posted: September 7, 2016
												This is what No man's sky tried to be but never was."
"{¶lwh} Pá","73 products in account","Posted: September 26, 2016","12 of 18 people (67%) found this review helpful
12 people found this review funny","Recommended","119.4 hrs on record","Posted: September 26, 2016
												Stop reading the reviews, just buy it!"
"Bhard","101 products in account","Posted: January 12","18 of 20 people (90%) found this review helpful","Recommended","10.1 hrs on record","Posted: January 12
												I enjoyed this game. I recommend buying the DLC for it as well though, because the Galactic Adventures DLC adds a lot. You could do without the other one though, but you might as well get it too if you have the money. 

(read no further if you don't want to know what happens as you progress.)

You start off on a planet of your choosing. From here you get to start off as a microscopic creature where you can evolve over time by either eating what I assume is algae, or other creatures. From this, paths branch off. You evolve into a mindless animal, who either tries to make friends with other creatures, fights others, or both. Then you evolve again into a tribe, where the same principles apply.  The only sad part is that you can't choose to be an underground civilization, or one that dwells in trees, underwater or on top of mountains. You can choose to give your creature wings though, if you'd like them to ""fly"". It's sort of just gliding, due to the fact that you can only flap your wings about 5 times or something like that.

The next stage of evolution brings you to city life, where you can either choose to dominate other nations economically, religiously, or through war. Once you've dominated all of the other nations, you advance yet again to the space stage. It's basically the same thing all over again, but in space with spaceships. That's not just it though. In space you get a variety of different missions in which you can colonize planets, eradicate diseased creatures, and even elevate tribal civilizatons!

That's not just it though. You get to create basically everything from your creature (which you can change until you get the later stages), to the buildings in which they live and work. Not only that, but you get to create their land vehicles, air vehicles, and boats. Then once you get to the space stage you get to create the spaceship model that your whole empire uses. 

If you want to play smart during the city and space stages, you can micromanage some of your cities to gain more income. Income is used to purchase vehicles during the city stage, and upgrades for your ship during the space stage. You get simple money during the city stage, but in the space stage, cities produce spice. You can sell the spices that are produced for a lot of money, if you can find the right person to sell them to.

Your goal is to reach the center of the galaxy, for who knows what might be there? But many obstacles stand in your way. Deal with them how you wish, because there are multiple ways to get there. Make friends, or dominate others to bring your rule to the whole galaxy. It's up to you. Just remember that everyone needs allies, or just really big guns. 

Lastly. The game is really monotonous in my opinion. But I like those sorts of games. If you're not a fan of monotonous tasks then you might not be a fan of this game in particular.  

Despite my annoyances with this game, I still enjoyed it a lot. Especially the missions that the DLC had to offer. I'd give this game a solid 7/10"
"Holy Maple Syrup Man/Jack","124 products in account","Posted: October 14, 2016","5 of 8 people (63%) found this review helpful
6 people found this review funny","Recommended","38.3 hrs on record","Posted: October 14, 2016
												I'vce lost this game 3 times don't buy the game on disk"
"Cyber","42 products in account","Posted: April 10, 2016","2 of 2 people (100%) found this review helpful","Recommended","27.0 hrs on record","Posted: April 10, 2016
												One of my favorite games to this day."
