result,more,more-href
"364360",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=3"
"",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=35"
"297000",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=20"
"214933",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=36"
"418030",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=24"
"205100",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=40"
"307670",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=34"
"378610",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=38"
"",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=30"
"12120",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=12"
"",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=13"
"289650",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=22"
"518790",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=2"
"355950",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=9"
"202970",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=14"
"294100","",""
"389730",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=6"
"413420",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=15"
"412740",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=16"
"576770",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=28"
"603510",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=12"
"329010",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=25"
"420490",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=20"
"224180",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=15"
"373420",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=12"
"47899",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=37"
"334230",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=16"
"265950",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=16"
"244450",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=17"
"238460",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=13"
"47894",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=16"
"518720",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=20"
"281990",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=6"
