username,products,date,helpfulness,recommendation,hours_played,body
"VegetaFH1","339 products in account","Posted: March 22","156 of 671 people (23%) found this review helpful
26 people found this review funny","Not Recommended","0.3 hrs on record","Posted: March 22
												No mouse support
DO NOT BUY

You can change from 30 to 60 fps from the launch menu aswell as many other options

I fully realize this is a PC port of a console game, but get your act together, this is a PC, it uses mouse"
"Rook","83 products in account","Posted: March 22","4 of 5 people (80%) found this review helpful","Recommended","10.2 hrs on record","Posted: March 22
												Loving this game! Each weapon class has unique ways of fighting and the story is pretty enjoyable too! My only complaint is that the regular interaction dialogue doesn't seem to be captioned so i can't understand those parts. Other than that, i can't wait to play more!"
"Misty Rina Zumarly","111 products in account","Posted: March 22","0 of 71 people (0%) found this review helpful
3 people found this review funny","Not Recommended","16.5 hrs on record","Posted: March 22
												last mission suks
its solo i hate solo"
"The Exile","291 products in account","Posted: March 22","1 of 3 people (33%) found this review helpful
1 person found this review funny","Recommended","5.9 hrs on record","Posted: March 22
												This is the first game I have played in this IP and I am enjoying it so far. 

The port is great and runs fine on my PC bar one thing at max and 60FPS on fullscreen with no issues.
The only issue I have had is you NEED to play with an controller ( I use an XBOX360 so can not comment on other types)

I will update this review once I have played more of the game. But I will give a quick run down now:

(1)The game is like monster hunter but for PC
(2)The only way to advance your game is through buying/making gear.
(3)The games combat feels like Dragons dogma if you have played that you will feel right at home.
(4)Character customization is the same as in Dynasty warriors or samurai warriors it being an KOEI TECMO GAMES CO., LTD.	game after all.

As of right now the PC game market is small in Japan so proving that there is a market for players on PC will get more games such as this ported over.

So please by this game if you are interested

The Exile,
Recommends this game."
"Misfit","352 products in account","Posted: March 22","5 of 8 people (63%) found this review helpful","Recommended","15.8 hrs on record","Posted: March 22
												amazing first impression.
its very similar to toukiden 1 with an open world instead of the monster hunter typical small levels.
performance is also better than toukiden 1.

if you like toukiden 1 or monster hunter games in general this is a no brainer."
"Beast Tamer","78 products in account","Posted: March 22","14 of 20 people (70%) found this review helpful","Recommended","0.3 hrs on record","Posted: March 22
												I just started playing but so far so good. It certainly is a better port than Toukiden Kiwami what with having a 60fps option.  One thing though, you absolutely need a controller to enjoy this game. You could play with a keyboard but just forget about it. It's really not ideal. Will update this review once i spen more time with the game."
"Cenosys","48 products in account","Posted: March 23","2 of 3 people (67%) found this review helpful","Recommended","19.3 hrs on record","Posted: March 23
												For those who are new to toukiden : its basically monster hunter but you fight demon instead; if u ask what monster hunter, err its hack and slash game where you co-op to destroy your gigantic monster body parts.

changes in toukiden 2 from the 1st :
you can zoom out ( much like bird view than 3rd person view)
added 2 weapon (shield & sword & blade whip)
katana now have new procedure to enter hyper gouge
knife you can air dash now
bow have backflip during aim mode
rifle you can reload after shooting or rapid reload

new mitama lvling system and skills

unity attack changed to demon hand, which actually destroy the part and wont regrow at all (you can actually make a demon limp with no feet now.)

if you explore map without taking mission it will be an open world ( much like MMO, with random skirmish mission)

Afterwords, I dont think you guys need a review. you would love it, just spend the money ""it's worth it""!"
"Mr. Spongecake","315 products in account","Posted: March 22","2 of 3 people (67%) found this review helpful","Recommended","9.9 hrs on record","Posted: March 22
												Only played into the game 4 hours but I'm already enjoying the hell out of it. A lot has been improved, including the landscapes. No loading between any rooms anymore because everything is already loaded. I was skeptical about the whole ""open-world"" thing but it seems to have been implemented very well.

Not only have two new weapon types been added (Sword and shield, chain whip) but all the other weapon types have had new moves added to them further increasing their viability and adding something to draw you back into those types so you're not spending all your time with the two new ones.

The is also a very VERY clean port. I had Kiwami on the PS4 so I can't speak for the PC version but this game runs smooth as silk on my rig. Loading times are also ridiculously short as well which is a wonder as all the ages are linked together into one giant map with no seperate ""room"" loading like in Kiwami.

The Demon-Hand thing seems just a tad gimmicky to me, though. I'm still trying to learn all it's ins-and-outs but I hardly use the damn thing.

The characters aren't as compelling as the original cast in Toukiden: Age of Demons but they get pretty damn close. Of course I'm also not very far in so I may grow to love them like I did the original cast. I do really like Benizuki though, she's pretty rad.

This part doesn't affect me as I use controller but it's a tad bit silly to not have mouse support on a PC game. I'm also wondering if this is intentional or not as I've seen some text in the game that wasn't quite... right? One of the screenshots explaining something was a Japanese screen shot and when sending my machina out on a survey the survey time was shown as ""Survey Time"" not ""long"" ""very long"" or anything like that. A few things just seems a tad weird to me so the lack of mouse support may not be intended.

All in all a very good game and a very good sequel to the original. I highly recommend picking it up."
"Austin_Exe","133 products in account","Posted: March 22","10 of 67 people (15%) found this review helpful
8 people found this review funny","Not Recommended","1.8 hrs on record","Posted: March 22
												it made me fight the same boss 4 time (oger) then Kazue or whoever thats supposed to give me my quests completly disapeared from the game :0"
"Coliathan","98 products in account","Posted: 22 March","151 of 222 people (68%) found this review helpful
54 people found this review funny","Recommended","7.0 hrs on record","Posted: 22 March
												just get a controller you troglodytes"
"Punani Tsunami","18 products in account","Posted: March 22","3 of 21 people (14%) found this review helpful
1 person found this review funny","Recommended","19.9 hrs on record","Posted: March 22
												Whut?"
"jmja","115 products in account","Posted: March 22","2 of 4 people (50%) found this review helpful","Recommended","13.1 hrs on record","Posted: March 22
												Enjoying the game been playing the whole day  no sign of fps drop solid 60 frames per sec. Nothing much to tell it's a good game almost Monsterhunter like. I love this game already."
"ArthurBigBoy","161 products in account","Posted: March 23","1 person found this review helpful","Recommended","4.1 hrs on record","Posted: March 23
												Runs great no bugs no crashes for me 
also really fun for now 
Gpu:AMD R9 280X
CPU:Intel i5
Windows 10"
"blacksun.956","256 products in account","Posted: March 23","No ratings yet","Recommended","1.4 hrs on record","Posted: March 23
												JUST GET A CONTROLLER!!!"
"Bear","170 products in account","Posted: March 23","No ratings yet","Recommended","6.4 hrs on record","Posted: March 23
												Satisfying gameplay with low barrier of entry to those new to the genre. Those experienced in this genre of games will find themselves comfortable with enough deviation in gameplay and mechanics to feel fresh and new in experience. 
It seems there are issues when it comes to lobbying and online multiplayer but once it works it's a great experience with friends. 
Be aware that the multiplayer is lobby/mission based and doesn't follow the same function as the single player open world style. At the end of the day this makes things far more streamlined with minimized downtime in between hunts."
"Flx","12 products in account","Posted: March 23","1 person found this review helpful","Recommended","3.4 hrs on record","Posted: March 23
												great port works fine core i5 7500 rx 480"
"Bear","170 products in account","Posted: March 23","No ratings yet","Recommended","6.4 hrs on record","Posted: March 23
												Satisfying gameplay with low barrier of entry to those new to the genre. Those experienced in this genre of games will find themselves comfortable with enough deviation in gameplay and mechanics to feel fresh and new in experience. 
It seems there are issues when it comes to lobbying and online multiplayer but once it works it's a great experience with friends. 
Be aware that the multiplayer is lobby/mission based and doesn't follow the same function as the single player open world style. At the end of the day this makes things far more streamlined with minimized downtime in between hunts."
"Peteristired","96 products in account","Posted: March 23","0 of 2 people (0%) found this review helpful","Recommended","3.1 hrs on record","Posted: March 23
												If you love MH then you will love this game. Trust me."
"{EkG} SwordThane","197 products in account","Posted: March 23","4 of 6 people (67%) found this review helpful","Recommended","9.7 hrs on record","Posted: March 23
												So far the game is great, combat is fun and has some depth to it. The amount of wepons and diff play styles you get to choose from is amazing, I also get steady frames and no sudden drops. 

I will deff update more as a I play. 

Pros
-Variety of weapons and play styles
-Combat and no frame issues
-Multiplayer is a blast 
-Open world

Cons
-No english voice overs (Some players might not have a problem with this)
- YOU NEED A CONTROLER (No mouse support)
-No push to talk on multiplayer (There is a way to fix this)"
"Hellstorm901","428 products in account","Posted: March 23","2 of 3 people (67%) found this review helpful","Recommended","2.4 hrs on record","Posted: March 23
												A vast improvement over the game that I recall watching TotalBiscuit criticise. The developers have learned from the mistake of the past and not only fixed all of the issues but seem to have done their own thing to set the game out from Monster Hunter.

I can say this is probably the closest we have to Monster Hunter of PC but unlike that game this one opts for a more open world over the mission arenas we had seen in Monster Hunter and God Eater.

The game has received some flak due to initial misinformation and the apparant lack of mouse support for the game but if you can forgive the lack of mouse functionality, or you use a controller (Like you really should do for any Action RPG to be honest) then you will have a very good time here."
"vault2049","317 products in account","Posted: March 22","7 of 12 people (58%) found this review helpful","Recommended","4.5 hrs on record","Posted: March 22
												First of all, this is great port considering the record with Tecmo Koei ports, but it doesn't have proper mouse and keyboard support. Then there is the limitation to going up to only 1080p on the graphics department. Other than this, the game performs flawlessly, giving you the option of locking it to 30 or 60 fps. There are few graphics options, but these are sufficient. A huge step forward from Toukiden Kiwami but, considering this is an straight PS4 port (Toukiden Kiwami origins go back to the PSP-Vita and then a PS4 HD port) this was to be expected. Let's hope that future KT ports are as decent as this one.

Toukiden 2 is also a much, much better game than the original Toukiden or Kiwami. These are monster humter-esque games but with a Japanese-fantastical setting to it. The graphics have been improved, 2 new weapons have been added, the story is told in a more immersive way, The world is huge and completely open with no transitions at all. I have only played for 4 hours and the game actually feels amazingly well done and immersive. They improved a lot of things, it actually feels like a start of a new franchise. 

I would have recommended this game exclusively on a sale but, after playing a bit, not anymore! This game deserves to be bought at full price. From the looks of it and by having played previous Toukiden games, I can ssure that it will have lots of content on both single player and multiplayer modes. I honestly was thinking of refunding it like I should have done with Kiwami. Tecmo Koei has really made an effort with this one, and it shows."
"aremdapta","261 products in account","Posted: March 23","1 of 2 people (50%) found this review helpful","Recommended","3.4 hrs on record","Posted: March 23
												i enjoyed kiwami eventhough i played it on ps4, because of that i look forward to this game. enjoyed it very much, map are wider and more open, game runs without problem to me, might have mouse problem, i dunno, but i use controller since already accustomed to kiwami. nontheless, i enjoyed it."
"Jose Paguia","47 products in account","Posted: March 23","1 of 2 people (50%) found this review helpful
1 person found this review funny","Recommended","13.8 hrs on record","Posted: March 23
												GOOD:
- 60 fps
- great story
- awesome optimization
- sick replay value
- thousands of armors and weapons
- lots to do, tons of quests
- hours of gameplay
- literally 100 hairstyles
- kawaii waifus

BAD:
- keyboard controls is okay, but controller is 10x better


Summary:
One of the best games I ever played. I don't buy a lot of games on steam but this is definitely worth it if you're into Phantasy Star Online, Monster Hunter, God Eater, etc."
"Highscore Hot Sauce!","303 products in account","Posted: March 22","5 of 8 people (63%) found this review helpful","Recommended","19.5 hrs on record","Posted: March 22
												Closet thing to MH on PC right now!"
"XX.","13 products in account","Posted: March 23","2 of 3 people (67%) found this review helpful","Recommended","4.8 hrs on record","Posted: March 23
												Just buy the controller , everything done :)"
"Zealheart","78 products in account","Posted: March 22","4 of 5 people (80%) found this review helpful","Recommended","22.4 hrs on record","Posted: March 22
												Really like this game, Reminded me of my days of monster hunter. Ahhh good times~

controls really well with gamepad
graphics are perfectly fine, no issues at all
really great port 

all and all, raelly great game to have and to play with friends, It feels LESS grindy since its an Open World now. good stuff"
"Lord Xel","150 products in account","Posted: 22 March","46 of 57 people (81%) found this review helpful
1 person found this review funny","Recommended","32.3 hrs on record","Posted: 22 March
												About what you would expect from a monster hunter-like game.

No mouse support, but it isn't that big of a deal. You can freely rebind keys and essentially just use your keyboard as a controler. Such as: I use right hand for camera controls (arrow keys) and left hand controls movements and attacks. Feels nice and works.

Will update later once I get some more gameplay down, but initial look isn't as bad as people think it is in regards to controls and such.

Updates: One thing I noticed that is pretty horrible is during multiplayer open mic appears to be set to ALWAYS be on. There is no option to turn it off. So if you play with friends and use mumble or team speak (and hate open mic), this will really annoy you. As well, it appears that you also have to have a team of 4 when venturing in multiplayer - so playing with a friend, I have to bring 2 NPC's, which is lame.

Game is quite fun and has a lot of variety. It is rather easy though. You have a lot of heals and if you do get knocked out you can just get ressed repeatedly. In multiplayer that means all 4 people have to get knocked out - which is incredibly rare."
"The Exile","291 products in account","Posted: March 22","1 of 3 people (33%) found this review helpful
1 person found this review funny","Recommended","5.9 hrs on record","Posted: March 22
												This is the first game I have played in this IP and I am enjoying it so far. 

The port is great and runs fine on my PC bar one thing at max and 60FPS on fullscreen with no issues.
The only issue I have had is you NEED to play with an controller ( I use an XBOX360 so can not comment on other types)

I will update this review once I have played more of the game. But I will give a quick run down now:

(1)The game is like monster hunter but for PC
(2)The only way to advance your game is through buying/making gear.
(3)The games combat feels like Dragons dogma if you have played that you will feel right at home.
(4)Character customization is the same as in Dynasty warriors or samurai warriors it being an KOEI TECMO GAMES CO., LTD.	game after all.

As of right now the PC game market is small in Japan so proving that there is a market for players on PC will get more games such as this ported over.

So please by this game if you are interested

The Exile,
Recommends this game."
"𝓥𝓲𝓷𝓬𝒆𝓷𝓽","1,034 products in account","Posted: March 22","47 of 233 people (20%) found this review helpful
35 people found this review funny","Recommended","9.0 hrs on record","Posted: March 22
												く__,.ヘヽ.　　　　/　,ー､ 〉
　　　　　＼ ', !-─‐-i　/　/´
　　　 　 ／｀ｰ'　　　 L/／｀ヽ､
　　 　 /　 ／,　 /|　 ,　 ,　　　 ',
　　　ｲ 　/ /-‐/　ｉ　L_ ﾊ ヽ!　 i
　　　 ﾚ ﾍ 7ｲ｀ﾄ　 ﾚ'ｧ-ﾄ､!ハ|　 |
　　　　 !,/7 '0'　　 ´0iソ| 　 |　　　
　　　　 |.从""　　_　　 ,,,, / |./ 　 |
　　　　 ﾚ'| i＞.､,,__　_,.イ / 　.i 　|
　　　　　 ﾚ'| | / k_７_/ﾚ'ヽ,　ﾊ.　|
　　　　　　 | |/i 〈|/　 i　,.ﾍ |　i　|
　　　　　　.|/ /　ｉ： 　 ﾍ!　　＼　|
　　　 　 　 kヽ>､ﾊ 　 _,.ﾍ､ 　 /､!
　　　　　　 !'〈//｀Ｔ´', ＼ ｀'7'ｰr'
　　　　　　 ﾚ'ヽL__|___i,___,ンﾚ|ノ
　　　　　 　　　ﾄ-,/　|___./
　　　　　 　　　'ｰ'　　!_,.:"
"Peteristired","96 products in account","Posted: March 23","0 of 2 people (0%) found this review helpful","Recommended","3.1 hrs on record","Posted: March 23
												If you love MH then you will love this game. Trust me."
"Akira","38 products in account","Posted: March 23","1 of 4 people (25%) found this review helpful","Recommended","7.4 hrs on record","Posted: March 23
												Great port. 10/10 would slay Oni again."
